retailer,brand,product_count,brand_rank
WUUHOO,wuuhoo,1,1
Wall-Art,K&L Wall Art,3,1
Wall-Art,Sandmännchen,1,2
Wallario,Wallario,12,1
Wanderschuhe.net,Lowa,1,1
Watchroom24,United Colors of Benetton,1,1
Watchroom24,weargo,1,1
Welt der Träume,Welt der Träume,1,1
Wetterladen.de,TFA Dostmann,1,1
Wigento,Wigento,9,1
Wirelex GmbH,S-Conn,1,1
WrapUp GmbH,You2Toys,1,1
WrapUp GmbH,Nina Ricci,1,1
WrapUp GmbH,Excellent,1,1
WrapUp GmbH,Mustela,1,1
WrapUp GmbH,Lux Fetish,1,1
WrapUp GmbH,LANCOME,1,1
WrapUp GmbH,Costume National,1,1
WrapUp GmbH,JEAN PAUL GAULTIER,1,1
WrapUp GmbH,CARVEN,1,1
WrapUp GmbH,JW Pet,1,1
XHIRTS,Assassin's Creed,1,1
YDTK GmbH,Jiubiaz,1,1
Yourfashionplace,Moschino,1,1
ZMGMB,Greensen,2,1
Zeitlounge,BRUNO SÖHNLE,1,1
Zollner24,ZOLLNER,1,1
Zolotoy,Zolotoy Mir,1,1
aby-fashion,GILDE,1,1
ambico,ambico,1,1
ani-one,GalaxyCat,1,1
anndora,Kreator,1,1
antonversand,SWIMS,1,1
atFoliX,atFoliX,23,1
atFoliX,Bruni,7,2
banjado,banjado,3,1
bearse,Housruse,3,1
bmf-versand,GLOBO LEUCHTEN,2,1
bmf-versand,Bergner,1,2
bmf-versand,LIVOO,1,2
camXpert GmbH,Hasbro,1,1
camXpert GmbH,Nerf,1,1
camXpert GmbH,Funko,1,1
camXpert GmbH,BADEKO,1,1
click-licht,click-licht,7,1
click-licht,SLV,3,2
creoven,Westinghouse,2,1
d-onlinehandel,Panco,1,1
d-onlinehandel,The Mia,1,1
daslagerhaus living,daslagerhaus living,2,1
dekodino®,dekodino,4,1
dekojohnson,dekojohnson,2,1
denimbar,Nudie Jeans,1,1
dercomputerladen,dcl24.de,1,1
druck-expert,DRUCK-EXPERT,1,1
eVendix,eVendix,5,1
edel-optics,ALEXANDER MCQUEEN,1,1
einzigundartig,Schildkröt,1,1
