brand,product_count,avg_price
Casaria,1,47.95
Primigi,1,47.92
PAPSTAR,1,46.99
Asics,1,46.99
Lynfield,1,46.99
Engel,1,45.99
LANCOME,1,45.03
GIORGIO MARTELLO MILANO,1,45.0
SVITA,1,44.99
Icepeak,1,44.99
Atmosphera Créateur d'intérieur,1,44.99
Tecno Pro,1,44.99
Rocks-Off,1,44.97
Banned,1,44.95
NÙNOO,1,44.9
Mastersox,1,44.9
Knirps®,1,44.51
Schütte,1,44.5
Caprice,1,43.99
Cheffinger,1,43.98
EUROLITE,1,43.89
Einhell,1,43.54
Bodenmeister,1,42.99
Point,1,42.95
GreenLand Nature,1,42.5
Trelock,1,41.95
MODERNA,1,41.73
Herschel,1,40.0
Victor (Zenith),1,39.99
SINNER,1,39.99
BADEKO,1,39.99
Pepe Jeans,1,39.99
GICO,1,39.99
HappyGoo,1,39.99
Funko,1,39.99
LARAWELL,1,39.99
Hustling Sharks,1,39.99
Warner,1,39.99
Wilbers,1,39.99
Key Largo,1,39.99
Tefal,1,39.99
Roger Kent,1,39.99
Zoggs,1,39.99
Rubie´s,1,39.99
Threadbare,1,39.95
Salonloewe,1,39.95
bodhi,1,39.95
Glanzstücke München,1,39.95
Eddie Bauer,1,39.95
ARTZT vitality,1,39.95
Paulmann,1,39.95
Club of Comfort,1,39.95
Indumentum,1,39.9
OTL Technologies,1,39.9
ATHLECIA,1,39.9
Calvin Klein Jeans,1,39.9
United Colors of Benetton,1,39.0
Bella Carina,1,39.0
NORCO,1,38.99
Weis seit 1903,1,38.99
LIVOO,1,38.65
Weckbrodt,1,37.99
Mayoral,1,37.5
Prosperplast,1,37.18
Ashley Brooke by heine,1,36.99
Deuba,1,36.95
euro3plast,1,36.24
Spiegelprofi GmbH,1,35.99
Assassin's Creed,1,35.95
Greensky,1,35.9
re.draft,1,35.9
Dakine,1,35.0
Veith,1,34.99
SIMBA,1,34.99
Luckyfine,1,34.99
Wall-Art,1,34.99
Kujo,1,34.99
Alles,1,34.95
khujo,1,34.95
Sheepworld,1,34.95
malito more than fashion,1,34.95
Gonso,1,34.95
Alife & Kickin,1,34.95
Part Two,1,34.9
Macosa Home,1,34.9
Crystal and Sage Jewelry,1,34.9
SuitMeister,1,34.9
CAPO,1,34.9
Games Workshop,1,34.81
ZOLLNER,1,33.99
Cangaroo,1,33.95
nadycat,1,33.9
Carpet City,1,33.84
GMD Living,1,32.95
CHiLA,1,32.9
Paul Malone,1,32.9
Nenalina,1,32.9
Rose et Chocolat,1,31.99
m. collection,1,31.99
Reusch,1,31.49
Radiant,1,31.35
Elbe,1,30.99
Blackskies,1,30.99
Karat,1,30.99
Orchidea,1,30.97
Costume National,1,30.93
The Mia,1,30.49
KingKerosin,1,29.99
Living Line,1,29.99
Nerf,1,29.99
esprit sports,1,29.99
CreaTable,1,29.99
BRUBAKER,1,29.99
KangaROOS,1,29.99
1A PHOTO PORST,1,29.95
Grund,1,29.95
Irisette,1,29.95
Fashion and Sports,1,29.9
MyMaxxi,1,29.9
TeppichWorld,1,29.9
Atlanta,1,29.9
Marika,1,29.9
HUCH & friends,1,29.53
New Classic Toys®,1,29.51
Sunseeker,1,29.5
Outdoor Research,1,29.35
Karisma,1,29.29
Fame Audio,1,29.0
FALKE,1,29.0
Stitch & Soul,1,29.0
Promodoro,1,28.98
Robin Ruth,1,28.95
Figuren Shop GmbH,1,28.95
Moschino,1,28.95
Bergner,1,28.9
Heidenfeld,1,27.99
Zapf Creation®,1,27.99
Lumunu,1,27.99
INGE-GLAS®,1,27.95
Loud&Proud,1,27.9
'47 Brand,1,27.9
Nina Ricci,1,27.07
Brillibrum,1,27.0
Sandmännchen,1,26.99
Buffalo,1,26.99
Esprit Collection,1,26.99
